restaurant_id,restaurant_name,report_comment,,,,,,,,,,,,,,,,,,,,,,,
1E+11,芋蔵 品川店,"五反田店に続き、来店。
メニューは変わらないですが、チェーン店とは思えないレベルはどの店舗も同じみたいです。

珍しく、もつ鍋抜きで飲みましたが、どれも及第点です。

落ち着いて飲めるのは、何処のお店も一緒。
ゆっくりまったり飲めますよ。

追加…。
揚げ出し豆腐ハマる。
ちょっと味濃いかなと思いましたが、豆腐が絶品
",,,,,,,,,,,,,,,,,,,,,,,
1E+11,芋蔵 品川店,肉と焼酎がとても美味しいお店でした。あとサツマイモスティックのハニーマヨネーズが意外と美味しくてハマる。,,,,,,,,,,,,,,,,,,,,,,,
1E+11,芋蔵 品川店,"ここ最近で行ったチェーン店の居酒屋では、かなり良かったです。写真は豚の2種盛り焼き、ソーセージはカウントされてないのかな！？（笑）

ご飯もおいしいですし、なにより、焼酎の種類の多さにビックリしました。
しかもシングル一杯300?からと安い！！
それに加え、あまりお目にかかれない名酒まで^_^
九州の料理で焼酎をくいっと一杯いかがですか！？

次行く機会があれば、今日呑めなかった焼酎を飲んでみたいですね(*^^*)",,,,,,,,,,,,,,,,,,,,,,,
1E+11,芋蔵 品川店,"居酒屋ランチ。

品川のランチはどこも混んでる！
ここは割りかし並ばずに入れるので、人とサッとご飯食べたい時はよさそうです。",,,,,,,,,,,,,,,,,,,,,,,
1E+11,芋蔵 品川店,"友人と6人で行きました。

チェーン店だったようですが、安っぽいところは微塵もなく、焼酎も料理も完全に美味しかったです。

チェーン店というだけで、個人的にはあまり期待を持たない方なのですが、ここは別格と考えていいと思います。

あまりに沢山飲み食いし過ぎて、予想を超える金額になってしまいましたが（笑）、それだけ美味しかったという事です。

品川店は超駅近ですし、デートで使っても良い雰囲気です。

機会があれば、再訪間違いなしのお店でした♪
",,,,,,,,,,,,,,,,,,,,,,,
1E+11,芋蔵 品川店,おじさんたちには、うれしい焼酎のコレクションでした。,,,,,,,,,,,,,,,,,,,,,,,
1E+11,芋蔵 品川店,"品川で最も行くお店です。4人くらいで行くのがお薦めですね。肉も野菜も美味しくいただけます。もちろん焼酎のラインアップは最高です！
#デート #合コン #友人・同僚と",,,,,,,,,,,,,,,,,,,,,,,
1E+11,芋蔵 品川店,芋蔵。安定したクオリティー。,,,,,,,,,,,,,,,,,,,,,,,
1E+11,芋蔵 品川店,"焼酎の種類は圧倒的、200種類以上あるんですかね。
変わり種焼酎も面白いので飲んでみましょう。
お薦め料理は、三種類の豚肉を焼いたものと、サツマイモスティック。
#デート #友人・同僚と",,,,,,,,,,,,,,,,,,,,,,,
1.00001E+11,超ごってり麺ごっつ 新小岩店,今回は背脂普通醤油！案外さっぱりして旨かった！今度はゴテゴテで！,,,,,,,,,,,,,,,,,,,,,,,
1.00001E+11,超ごってり麺ごっつ 新小岩店,"背脂中毒になる覚悟がありますか。笑


間違いなくこってりゴテゴテなのに、しっかりとダシが香る、これには驚きました。

非常に食べ応えのあるラーメン。
普通に美味しかったです^ ^",,,,,,,,,,,,,,,,,,,,,,,
